Principal Investigator,Expedition,OS Region,Reference Author Published year,Reference doi,Date of collection,Sample ID,Latitude,Longitude,Sampling Depth [m],Percentage Irradiance Depth (% of surface PAR),Optical Depth,CP and PP Analysis Method,CP and PP analysis Incubation Length [hours],CaCO3 production (CP) [µmol C m-3 d-1],CaCO3 production Standard Deviation [µmol C m-3 d-1],Primary Production (PP) [µmol C m-3 d-1],Primary Production Standard Deviation [µmol C m-3 d-1],Total Coccolithophore cell counts [cells mL-1],Emiliania huxleyi cell counts [cells mL-1],Chlorophyll a [mg m-3],Inorganic Nitrogen (NOx) [µM N L-1],Silicate [µM Si L-1],Phosphate [µM P L-1],Dissolved Inorganic Carbon (DIC) [μmol C kg-1],Total Alkalinity  [μmol C kg-1],Bicarbonate Ion (HCO3-) [μmol C kg-1],Carbonate Ion (CO32-) [μmol C kg-1],pH,Temperature [oC],Salinity
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-10,2,4,-110,6.83,52,0.65,MDT,24,17.4,11.11,639.64,190.56,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-11,3,3,-110,11.07,52,0.65,MDT,24,25.88,3.23,773.19,43.32,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-11,3,3,-110,21.58,31,1.17,MDT,24,21.11,3.47,706.15,84.63,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-11,3,3,-110,36.56,13,2.04,MDT,24,12.13,1.9,467.41,108.2,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-11,3,3,-110,56.07,5,3,MDT,24,3.44,3.2,181.21,37.48,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-11,3,3,-110,89.25,0.8,4.83,MDT,24,2.29,0.62,21.37,13.57,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-11,3,3,-110,122.22,0.1,6.91,MDT,24,0.78,0.87,5,6.99,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-12,4,2,-110,12.75,52,0.65,MDT,24,70.01,73.63,1502.69,312.2,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-12,4,2,-110,23.34,31,1.17,MDT,24,63.92,38.75,1412.24,34.93,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-12,4,2,-110,39.28,13,2.04,MDT,24,29.42,3.54,770.11,274.53,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-12,4,2,-110,58.61,5,3,MDT,24,10.28,3.17,514.31,277.33,,,,,,,,,,,,,
