Latitude,Longitude,Depth,Month,Year,Gephyrocapsa huxleyi HET
-64,-170,100,12,2010,1130
-64,175,0,1,2005,96109
-63,-142,40,12,2010,796
-63,-142,60,12,2010,1180
-63,-66,5,2,2009,441
-63,-66,50,2,2009,30988
-63,-66,100,2,2009,5812
-63,-65,5,2,2009,455
-63,-64,5,2,2009,455
-63,-64,25,2,2009,12796
-63,-64,50,2,2009,2316
-63,-64,75,2,2009,9597
-63,172,0,1,2005,119403
-62,-170,10,12,2010,2906
-62,-170,35,12,2010,2199
-62,-170,60,12,2010,846
-62,-170,100,12,2010,8630
-62,-170,150,12,2010,1018
-62,-140,20,12,2010,710
-62,-140,100,12,2010,800
-62,-68,5,2,2009,61329
-62,-68,10,2,2009,288986
-62,-68,50,2,2009,181289
-62,-68,75,2,2009,65706
-62,-68,100,2,2009,15749
-62,-67,5,2,2009,2982
-61,-170,20,12,2010,104083
-61,-170,40,12,2010,153939
-61,-170,60,12,2010,37711
-61,-170,100,12,2010,14251
-61,-170,150,12,2010,17374
-61,-116,20,12,2010,69592
-61,-116,40,12,2010,69387
-61,-116,60,12,2010,132744
-61,-116,100,12,2010,77228
-61,-69,5,2,2009,216317.666666667
-61,-68,10,2,2009,236584
-61,-68,50,2,2009,76776
-61,-68,100,2,2009,86127
-61,-68,175,2,2009,5072
-61,-56,5,2,2009,72340
-61,-55,50,2,2009,457
-61,-55,100,2,2009,918
-61,174,0,1,2005,86970
-60,-172,10,12,2010,312074
-60,-172,20,12,2010,269940
-60,-172,40,12,2010,351038
-60,-172,60,12,2010,113604
-60,-172,80,12,2010,2669
-60,-172,100,12,2010,10273
-60,-172,150,12,2010,10724
-60,-69,5,2,2009,272981
-60,-69,10,2,2009,70835
-60,-69,20,2,2009,48459
-60,-69,50,2,2009,286268
-60,-69,75,2,2009,197742
-60,-69,100,2,2009,35585
-60,-56,5,2,2009,7312
-60,-56,75,2,2009,1383
-60,-56,100,2,2009,5847
-60,-34,15,2,2011,102950
-59,-173,10,12,2010,143669
-59,-173,20,12,2010,160748
-59,-173,40,12,2010,196497
-59,-173,60,12,2010,136050
-59,-173,80,12,2010,51365
-59,-173,100,12,2010,6415
-59,-173,150,12,2010,7343
-59,-136,20,12,2010,119721
-59,-136,40,12,2010,125799
-59,-136,55,12,2010,118219
-59,-136,100,12,2010,3962
-59,-69,5,2,2009,232522
-59,-69,10,2,2009,430167
-59,-69,50,2,2009,271232
-59,-69,75,2,2009,150140
-59,-69,100,2,2009,13834
-59,-57,5,2,2009,49062.5
-59,-57,50,2,2009,676
-59,-57,100,2,2009,105526
-59,174,0,1,2005,138620
-58,-175,20,12,2010,71396
-58,-175,40,12,2010,76434
-58,-175,60,12,2010,65378
-58,-175,80,12,2010,83536
-58,-175,150,12,2010,2560
-58,-152,60,12,2010,982
-58,-152,100,12,2010,1022
-58,-136,20,12,2010,266969
-58,-136,40,12,2010,301837
-58,-136,55,12,2010,155025
-58,-136,100,12,2010,9644
-58,-136,150,12,2010,1975
-58,-92,10,12,2010,56701
-58,-92,20,12,2010,22423
-58,-92,40,12,2010,24962
-58,-92,60,12,2010,36883
-58,-92,75,12,2010,25431
-58,-92,100,12,2010,2376
-58,-92,150,12,2010,38520
-58,-69,5,2,2009,65490.5
-58,-69,50,2,2009,39478
-58,-69,75,2,2009,70407
-58,-69,100,2,2009,28002
-58,-58,5,2,2009,137401
-58,-57,5,2,2009,30137
-58,-57,50,2,2009,7403
-58,-57,100,2,2009,32447
-58,-26,15,2,2011,2390
-58,-19,0,3,1995,50900
-58,174,0,1,2005,33903
-57,-153,20,12,2010,153684
-57,-153,40,12,2010,72857
-57,-153,60,12,2010,76161
-57,-153,100,12,2010,10479
-57,-153,150,12,2010,6254
-57,-116,20,12,2010,482393
-57,-116,40,12,2010,313550
-57,-116,60,12,2010,371436
-57,-116,100,12,2010,113354
-57,-97,10,12,2010,29807
-57,-97,20,12,2010,62054
-57,-97,40,12,2010,70976
-57,-97,60,12,2010,33314
-57,-97,100,12,2010,8444
-57,-69,5,2,2009,21626
-57,-69,10,2,2009,24803
-57,-69,50,2,2009,17236.5
-57,-69,100,2,2009,5681.5
-57,-68,5,2,2009,7345
-57,-58,5,2,2009,187686.5
-57,-58,10,2,2009,260498
-57,-58,50,2,2009,141846
-57,-58,100,2,2009,135538
-57,-16,0,3,1995,90400
-57,57,0,2,2010,161690
-57,57,20,2,2010,144150
-57,57,40,2,2010,275723
-57,57,60,2,2010,20409
-57,57,80,2,2010,124495
-57,57,110,2,2010,1485
-56,-59,5,2,2009,85562.6666666667
-56,-59,50,2,2009,2111
-56,-59,100,2,2009,457
-56,-58,10,2,2009,82359
-56,-13,0,3,1995,166600
-56,174,0,1,2005,42824.5
-55,-155,20,12,2010,388761
-55,-155,50,12,2010,33277
-55,-155,65,12,2010,15531
-55,-155,100,12,2010,5311
-55,-155,150,12,2010,1301
-55,-126,10,12,2010,17783
-55,-126,20,12,2010,31105
-55,-126,40,12,2010,36204
-55,-126,60,12,2010,11930
-55,-126,100,12,2010,1851
-55,-81,10,12,2010,60425
-55,-81,20,12,2010,30421
-55,-81,40,12,2010,52838
-55,-81,75,12,2010,16756
-55,-59,5,2,2009,55372
-55,74,20,3,2012,131500
-55,88,15,3,2012,105740
-54,-119,20,12,2010,146078
-54,-119,40,12,2010,138983
-54,-119,60,12,2010,124264
-54,-119,100,12,2010,3298
-54,-59,5,2,2009,156582.5
-54,-59,25,2,2009,177885
-54,-59,50,2,2009,253905
-54,-59,75,2,2009,64894
-54,-59,100,2,2009,18362
-54,-18,10,2,2011,28160
-54,-10,0,3,1995,141700
-54,-7,0,3,1995,155000
-54,174,0,1,2005,52678
-53,-180,20,12,2010,140196
-53,-180,45,12,2010,185490
-53,-180,60,12,2010,204541
-53,-180,100,12,2010,18537
-53,-180,150,12,2010,1866
-53,-5,0,3,1995,17000
-53,-4,0,3,1995,215100
-53,57,0,2,2010,361455
-53,57,20,2,2010,325144
-53,57,40,2,2010,314328
-53,57,60,2,2010,63409
-53,57,80,2,2010,153371
-53,57,110,2,2010,61914
-52,-58,5,10,1996,39338
-52,-58,20,10,1996,18156
-52,-58,40,10,1996,10591
-52,-57,15,1,2011,242370
-52,-38,10,1,2011,564690
-52,-3,0,3,1995,440400
-52,175,0,1,2005,8866
-51,-58,5,4,1997,1500
-51,-58,5,10,1995,63540
-51,-58,30,10,1995,24210
-51,-58,80,4,1997,3026
-51,-11,10,2,2011,75830
-51,-2,0,3,1995,410000
-51,-1,0,3,1995,266850
-50,0,0,3,1995,60100
-50,1,0,3,1995,99100
-50,2,10,2,2004,42117
-50,2,10,3,2004,29248
-50,2,20,2,2004,50306
-50,2,20,3,2004,38607
-50,2,40,2,2004,40947
-50,2,40,3,2004,43286.5
-50,2,60,2,2004,22228.5
-50,2,60,3,2004,32757.5
-50,2,80,2,2004,29248
-50,2,80,3,2004,53816
-50,2,100,2,2004,21058.5
-50,2,100,3,2004,32757.5
-50,2,150,2,2004,5849.5
-50,2,150,3,2004,4679.5
-50,71,15,3,2012,28690
-50,94,20,3,2012,79840
-50,174,0,1,2005,47100
-49,-56,5,10,1996,43877
-49,-56,40,10,1996,25721
-49,-56,80,10,1996,22695
-49,2,0,3,1995,21400
-49,2,10,12,2010,330930
-49,2,20,12,2010,124501
-49,2,40,12,2010,86018
-49,2,60,12,2010,23715
-49,2,100,12,2010,2365
-49,3,0,3,1995,55300
-49,57,0,2,2010,738575
-49,57,20,2,2010,739307
-49,57,40,2,2010,167354
-49,57,60,2,2010,136525
-49,57,80,2,2010,109476
-49,57,110,2,2010,97323
-49,174,0,1,2005,35034
-48,-56,5,4,1996,30260
-48,-56,5,4,1997,51442
-48,-56,50,4,1997,24964.5
-48,-56,60,4,1996,24210
-48,3,0,3,1995,89400
-48,4,0,3,1995,86200
-48,64,20,3,2012,11280
-48,174,0,1,2005,40947
-47,-60,10,1,2011,1635520
-47,-57,0,10,1997,83215
-47,-57,5,10,1995,393380
-47,-57,35,10,1997,56737.5
-47,-57,40,10,1995,48160
-47,-4,15,2,2011,62500
-47,5,0,3,1995,63600
-47,6,0,3,1995,36000
-47,57,15,2,2012,138260
-47,173,0,1,2005,71839
-46,-49,10,1,2011,18850
-46,2,10,12,2010,125142
-46,2,20,12,2010,134104
-46,2,40,12,2010,432740
-46,2,60,12,2010,186104
-46,2,100,12,2010,2619
-46,7,0,3,1995,26500
-46,8,0,3,1995,33300
-46,51,20,2,2012,472130
-46,57,0,2,2010,706282
-46,57,20,2,2010,361515
-46,57,40,2,2010,49002
-46,57,60,2,2010,21691
-46,57,80,2,2010,34555
-46,57,110,2,2010,11135
-45,-22,5,2,2000,27183
-45,-22,20,2,2000,16084
-45,-22,50,2,2000,12074
-45,-22,100,2,2000,1209
-45,-22,150,2,2000,143
-45,-14,5,2,2000,35034
-45,-14,20,2,2000,31473
-45,-14,50,2,2000,33353
-45,-14,100,2,2000,210
-45,5,10,12,2010,426690
-45,5,20,12,2010,477189
-45,5,40,12,2010,166000
-45,5,60,12,2010,1806
-45,5,100,12,2010,2837
-45,5,150,12,2010,1892
-45,8,0,3,1995,47000
-45,9,0,3,1995,30200
-45,57,0,2,2010,123149
-45,57,20,2,2010,19258
-45,57,40,2,2010,32710
-45,57,60,2,2010,38684
-45,57,80,2,2010,33047
-45,57,110,2,2010,17360
-45,100,20,3,2012,106700
-44,-56,5,10,1996,161891
-44,-56,30,10,1996,99858
-44,-56,50,10,1996,47659.5
-44,-55,5,4,1996,48416
-44,-55,5,4,1997,64302.5
-44,-55,30,4,1996,18160
-44,-55,50,4,1997,16643
-44,10,0,3,1995,152200
-44,11,0,3,1995,71400
-44,57,0,2,2010,138465
-44,57,20,2,2010,15022
-44,57,40,2,2010,34367
-44,57,60,2,2010,34524
-44,57,80,2,2010,28645
-44,57,110,2,2010,2916
-43,-55,0,10,1997,43120.5
-43,-55,25,10,1997,44633.5
-43,3,10,3,2012,9740
-43,11,0,3,1995,75000
-43,12,0,3,1995,101300
-43,113,5,3,2012,98920
-42,-42,10,5,2004,116185
-42,-42,20,5,2004,62052
-42,-42,35,5,2004,77291
-42,-42,65,5,2004,66720
-42,-42,80,5,2004,17653
-42,12,0,3,1995,69700
-42,13,0,3,1995,61300
-42,57,0,2,2010,86636
-42,57,20,2,2010,12635
-42,57,40,2,2010,82101
-42,57,60,2,2010,21179
-42,57,80,2,2010,16992
-42,57,110,2,2010,18809
-41,-56,5,10,1995,81320
-41,-56,40,10,1995,73990
-41,-46,10,1,2011,6030
-41,13,0,3,1995,61950
-41,43,25,2,2012,29080
-41,105,15,3,2012,26540
-41,109,15,3,2012,98490
-40,-75,0,1,2002,53946.8
-40,-54,5,4,1996,27230
-40,-54,50,4,1996,39340
-40,-19,5,2,2000,11842
-40,-19,20,2,2000,12003
-40,-19,50,2,2000,22578
-40,-19,100,2,2000,2475
-40,14,0,3,1995,35700
-40,57,0,1,2010,82349
-40,57,20,1,2010,89492
-40,57,40,1,2010,11401
-40,57,60,1,2010,4462
-40,57,80,1,2010,14099
-40,57,110,1,2010,13910
-39,-75,0,1,2002,6985
-39,-75,0,8,2002,52827
-39,-75,10,4,2002,40639
-39,-75,10,5,2002,14923
-39,-75,20,4,2002,37966
-39,-75,20,5,2002,10963
-39,-75,25,5,2002,7105
-39,-75,40,4,2002,33632
-39,-75,40,5,2002,7773
-39,-75,45,5,2002,6970
-39,-75,60,4,2002,35461
-39,-75,60,5,2002,1706
-39,-75,65,5,2002,11510
-39,-75,100,4,2002,4890
-39,-75,100,5,2002,4129
-39,-75,105,5,2002,4564
-39,-75,140,5,2002,1586
-39,-75,160,4,2002,1773
-39,-52,0,10,1997,189125
-39,-52,25,10,1997,152056.5
-39,-22,5,2,2000,7757
-39,-22,20,2,2000,7622
-39,-22,50,2,2000,13139
-39,-22,100,2,2000,1583
-39,-22,150,2,2000,359
-39,15,0,3,1995,37750
-38,-75,10,3,2002,8747
-38,-75,20,3,2002,11101
-38,-75,40,3,2002,2627
-38,-75,80,3,2002,611
-38,-75,120,3,2002,1683
-38,-75,160,3,2002,2579
-38,-53,5,10,1996,10591
-38,-53,40,10,1996,10591
-38,-53,60,10,1996,31773
-38,15,0,3,1995,49600
-38,39,15,2,2012,17150
-37,-75,0,1,2002,5649
-37,-75,10,1,2002,55660
-37,-75,25,1,2002,38207
-37,-75,40,1,2002,17165
-37,-75,50,1,2002,5912
-37,-75,80,1,2002,6722
-37,-75,120,1,2002,4551
-37,-74,10,12,2001,2130
-37,-74,60,12,2001,1092
-37,-74,120,12,2001,889
-37,-74,150,12,2001,845
-37,-50,5,4,1996,11340
-37,-50,80,4,1996,19670
-37,-15,0,2,1993,60560
-37,-15,20,2,1993,68615
-37,-15,40,2,1993,128185
-37,-15,60,2,1993,106475
-37,-15,80,2,1993,74575
-37,-15,100,2,1993,66485
-37,14,0,2,1993,60600
-37,16,0,3,1995,39000
-36,-50,5,4,1997,24964.5
-36,-50,5,10,1996,89267
-36,-50,20,4,1997,31773
-36,-50,30,10,1996,105910
-36,-50,50,10,1996,25721
-36,-49,0,10,1997,31773
-36,-49,35,10,1997,30260
-36,-23,5,3,2000,3074
-36,-23,10,3,2000,6239
-36,-23,20,3,2000,4269
-36,-23,50,3,2000,27626
-36,-23,100,3,2000,11460
-36,-23,150,3,2000,655
-36,-21,5,8,1994,72820
-36,-21,20,8,1994,7197
-36,-21,50,8,1994,39163
-36,-21,100,8,1994,12473
-36,8,20,2,1993,27510
-36,8,40,2,1993,39920
-36,8,60,2,1993,122510
-36,8,80,2,1993,44280
-36,8,100,2,1993,83105
-36,16,0,3,1995,31600
-36,17,0,3,1995,15600
-35,18,0,3,1995,194500
-34,-47,5,4,1996,10590
-34,-47,5,10,1995,24210
-34,-47,40,10,1995,52950
-34,-47,70,4,1996,4540
-34,-32,15,5,2004,2025
-34,-32,25,5,2004,1713
-34,-32,45,5,2004,682
-34,-32,100,5,2004,140
-34,-32,150,5,2004,199
-34,-24,5,3,2000,439
-34,-24,50,3,2000,1467
-34,-24,100,3,2000,3167
-34,-3,0,2,1993,9200
-34,-3,20,2,1993,10370
-34,-3,40,2,1993,24840
-34,-3,60,2,1993,17750
-34,-3,80,2,1993,44820
-34,-3,100,2,1993,68430
-34,3,0,2,1993,20485
-34,3,20,2,1993,21200
-34,3,40,2,1993,58000
-34,3,60,2,1993,100920
-34,3,80,2,1993,129895
-34,3,100,2,1993,81990
-34,8,5,11,2005,131610
-34,10,0,11,2005,265780
-33,-47,5,5,1997,7565
-33,-47,5,10,1996,10591
-33,-47,40,10,1996,19669
-33,-47,50,5,1997,7560
-33,-47,60,10,1996,49929
-33,-15,5,8,1994,324
-33,-15,20,8,1994,7347
-33,-15,100,8,1994,56
-33,-4,20,2,1993,10400
-33,-4,40,2,1993,24800
-33,-4,60,2,1993,17800
-33,-4,80,2,1993,44800
-33,-4,100,2,1993,68400
-33,4,5,11,2005,39600
-33,17,5,5,1998,28747
-32,-25,5,3,2000,194
-32,-25,50,3,2000,1219
-32,-25,100,3,2000,2085
-32,-25,150,3,2000,531
-32,11,25,2,1993,36410
-32,11,50,2,1993,69190
-32,11,100,2,1993,50815
-31,-44,5,5,1996,560
-31,-44,5,10,1995,9060
-31,-44,100,10,1995,33280
-31,-44,110,5,1996,80
-30,-43,5,10,1996,6052
